account,12,account_id,app_user_id,NULL,NULL,NULL,NULL,NULL,iban,account_name,format,balance,last_booked,NULL,NULL,NULL,NULL,NULL,NULL
account_balance_file,16,account_balance_file_id,account_id,NULL,NULL,NULL,NULL,NULL,file_name,format,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
app_user,14,id,country_id,center_id,NULL,NULL,NULL,username,title,NULL,NULL,number_of_accounts,created_at,updated_at,NULL,NULL,NULL,NULL,NULL
bank,4,bank_id,NULL,NULL,NULL,NULL,NULL,bank_name_official,file_format,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bank_modality,4,folder_name,bank_id,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
category_term,294,term_id,category_id,app_user_id,NULL,NULL,NULL,NULL,NULL,term,sort_order,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
category_total,169,category_total_id,app_user_id,bank_id,category_id,NULL,NULL,NULL,year,NULL,NULL,amount,NULL,NULL,NULL,NULL,NULL,NULL,NULL
center,3,center_id,country_id,NULL,NULL,NULL,NULL,NULL,name,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
country,2,country_id,NULL,NULL,NULL,NULL,NULL,name,currency_default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dim_category,30,category_id,country_id,NULL,NULL,NULL,NULL,NULL,local_code,label,is_remainder,matrix_role,NULL,NULL,NULL,NULL,NULL,NULL,NULL
enable_account,5,enable_account_id,connection_id,account_id,NULL,NULL,NULL,NULL,NULL,uid,enabled,identification_hash,currency,NULL,NULL,NULL,NULL,NULL,NULL
enable_connection,5,connection_id,app_user_id,NULL,NULL,NULL,NULL,NULL,app_id,aspsp,country_iso,session_id,valid_until,created_at,NULL,NULL,NULL,NULL,NULL
enable_redirect,0,app_user_id,app_user_id,NULL,NULL,NULL,NULL,last_redirect_input,last_redirect_code,last_redirect_code_at,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
hub_ip,13,ip,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
private_key,5,app_user_id,app_user_id,NULL,NULL,NULL,NULL,app_id,pem,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
table_header_term,26,term_key,country_id,NULL,NULL,NULL,NULL,NULL,label,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
transaction_nederland,1151,transaction_id,app_user_id,account_id,bank_id,category_id,NULL,NULL,NULL,year,NULL,source_id,amount,bank_type,counterparty_name,counterparty_iban,description,booked_on,NULL
transaction_uk,100,transaction_id,app_user_id,account_id,bank_id,category_id,NULL,NULL,NULL,year,NULL,source_id,amount,bank_type,counterparty_name,counterparty_iban,description,booked_on,NULL
type_abbreviation,18,country_id,country_id,NULL,NULL,NULL,NULL,NULL,abbreviation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
type_rule,0,country_id,country_id,category_id,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
